Authors	Record Count	% of 1.857
El Aroussi M	2	0.108
El Hadraoui H	2	0.108
Engel D	2	0.108
Epiphaniou G	2	0.108
Essaaidi M	2	0.108
Eziama E	2	0.108
Faheem M	2	0.108
Fang F	2	0.108
Fei MR	2	0.108
Foo E	2	0.108
Fortino G	2	0.108
Frincu M	2	0.108
Gan LY	2	0.108
Gao W	2	0.108
Gaska K	2	0.108
Generowicz A	2	0.108
Ghassemzadeh S	2	0.108
Ghorbani R	2	0.108
Ghrayeb A	2	0.108
Giannoulakis I	2	0.108
Girmay AA	2	0.108
Goga K	2	0.108
Golshan MEH	2	0.108
Gomilanovic M	2	0.108
Gope P	2	0.108
Gouveia C	2	0.108
Govindarasu M	2	0.108
Goyel H	2	0.108
Grammatikis PR	2	0.108
Grimaccia F	2	0.108
Gryllias K	2	0.108
Guan SP	2	0.108
Gui WH	2	0.108
Gumaei A	2	0.108
Guo L	2	0.108
Guo LL	2	0.108
Guo Y	2	0.108
Gupta R	2	0.108
Gupta S	2	0.108
Gómez-lázaro E	2	0.108
Górriz JM	2	0.108
Habib H	2	0.108
Habib HF	2	0.108
Hadjidj R	2	0.108
Hagenmeyer V	2	0.108
Hahn A	2	0.108
Hakak S	2	0.108
Halden U	2	0.108
Hallaji E	2	0.108
Hamam H	2	0.108
Han T	2	0.108
Han W	2	0.108
Han Y	2	0.108
Hancke GP	2	0.108
Harish A	2	0.108
Hashim M	2	0.108
Hatziadoniu C	2	0.108
He HB	2	0.108
He Q	2	0.108
He YB	2	0.108
He YW	2	0.108
He ZW	2	0.108
Henriques J	2	0.108
Honeine P	2	0.108
Hong F	2	0.108
Hong JH	2	0.108
Hou J	2	0.108
Hsieh JY	2	0.108
Hsu HY	2	0.108
Hu B	2	0.108
Hu G	2	0.108
Hu H	2	0.108
Hu J	2	0.108
Hu JK	2	0.108
Hu JL	2	0.108
Hu QL	2	0.108
Hu R	2	0.108
Hua WQ	2	0.108
Huang B	2	0.108
Huang JJ	2	0.108
Huang KK	2	0.108
Huang Q	2	0.108
Huang XY	2	0.108
Huangfu HC	2	0.108
Hussain S	2	0.108
Hussain T	2	0.108
Hussain Y	2	0.108
Idris MY	2	0.108
Iliadis L	2	0.108
Imran M	2	0.108
Indo K	2	0.108
Iqbal M	2	0.108
Irfan HM	2	0.108
Irfan M	2	0.108
Ismail R	2	0.108
Iwendi C	2	0.108
Jafari A	2	0.108
Jafari M	2	0.108
Jagtap SS	2	0.108
Jahromi AA	2	0.108
Jaiswal R	2	0.108
Javed AR	2	0.108
Ji C	2	0.108
Jia HJ	2	0.108
Jiang AX	2	0.108
Jiang F	2	0.108
Jiang H	2	0.108
Jiang YX	2	0.108
Jiang ZH	2	0.108
Jin JY	2	0.108
Jindal A	2	0.108
Jo JY	2	0.108
Jolfaei A	2	0.108
Joshi A	2	0.108
Jung S	2	0.108
Jurado F	2	0.108
Kabir B	2	0.108
Kafetzakis E	2	0.108
Kalam A	2	0.108
Kamwa I	2	0.108
Kannan R	2	0.108
Kantarci B	2	0.108
Karacayilmaz G	2	0.108
Katsigiannis Y	2	0.108
Keshk M	2	0.108
Kezunovic M	2	0.108
Khalid M	2	0.108
Khan A	2	0.108
Khan F	2	0.108
Khan KM	2	0.108
Khan NA	2	0.108
Khan SU	2	0.108
Khan ZA	2	0.108
Khan ZU	2	0.108
Khani H	2	0.108
Khare G	2	0.108
Khattak A	2	0.108
Khaw YM	2	0.108
Kim C	2	0.108
Kim D	2	0.108
Kim JH	2	0.108
Kim KJ	2	0.108
Kim M	2	0.108
Kim SJ	2	0.108
Kim ST	2	0.108
Kim Y	2	0.108
Kim YH	2	0.108
Klann D	2	0.108
Kleinmann A	2	0.108
Ko RKL	2	0.108
Koley E	2	0.108
Kong QL	2	0.108
Kong YN	2	0.108
Kotecha K	2	0.108
Kumar P	2	0.108
Kumar TV	2	0.108
Kummerow A	2	0.108
Laayati O	2	0.108
Laghari AA	2	0.108
Lamrini N	2	0.108
Larrondo-petrie MM	2	0.108
Le-khac NA	2	0.108
Lee WJ	2	0.108
Lehnhoff S	2	0.108
Leung H	2	0.108
Li BB	2	0.108
Li CJ	2	0.108
Li DH	2	0.108
Li GX	2	0.108
Li JH	2	0.108
Li JK	2	0.108
Li JN	2	0.108
Li JS	2	0.108
Li PX	2	0.108
Li QM	2	0.108
Li QY	2	0.108
Li R	2	0.108
Li SZ	2	0.108
Li WX	2	0.108
Li XL	2	0.108
Li YQ	2	0.108
Li ZJ	2	0.108
Li ZS	2	0.108
Li ZY	2	0.108
Liang W	2	0.108
Liao X	2	0.108
Lin Z	2	0.108
Ling ZA	2	0.108
Ling ZN	2	0.108
Liu CC	2	0.108
Liu DL	2	0.108
Liu GY	2	0.108
Liu JZ	2	0.108
Liu P	2	0.108
Liu S	2	0.108
Liu X	2	0.108
Liu XB	2	0.108
Liu XY	2	0.108
Liu YB	2	0.108
Liu YC	2	0.108
Liu YD	2	0.108
Liu ZC	2	0.108
Liu ZW	2	0.108
Lloret J	2	0.108
Loukianov AG	2	0.108
Lu C	2	0.108
Lu RX	2	0.108
Lu T	2	0.108
Lu X	2	0.108
Luo J	2	0.108
Lv Z	2	0.108
León C	2	0.108
López-garcía D	2	0.108
Ma K	2	0.108
Ma L	2	0.108
Ma XD	2	0.108
Macii E	2	0.108
Madurasinghe D	2	0.108
Maglaras L	2	0.108
Mahmoud MN	2	0.108
Mahmoudi A	2	0.108
Maldonado-correa J	2	0.108
Malik OP	2	0.108
Manohar M	2	0.108
Mantooth HA	2	0.108
Maple C	2	0.108
Marot A	2	0.108
Mashima D	2	0.108
Massaoudi M	2	0.108
Matsui K	2	0.108
Matsui T	2	0.108
Maza I	2	0.108
Mcdonald A	2	0.108
Mchann SE	2	0.108
Mehdary A	2	0.108
Melendez-norona R	2	0.108
Meng WC	2	0.108
Mercaldo F	2	0.108
Meskin N	2	0.108
Milanovic JV	2	0.108
Minussi CR	2	0.108
Mishra S	2	0.108
Moeini A	2	0.108
Mohamed A	2	0.108
Mohamed MA	2	0.108
Mohanta DK	2	0.108
Mokhtari S	2	0.108
Moleda M	2	0.108
Molokomme DN	2	0.108
Momot A	2	0.108
Morris T	2	0.108
Morris TH	2	0.108
Mrozek D	2	0.108
Mukherjee D	2	0.108
Mynuddin M	2	0.108
Martín-martínez S	2	0.108
Martínez-ramón M	2	0.108
Mühlburger H	2	0.108
Na CN	2	0.108
Nader P	2	0.108
Naderi E	2	0.108
Naeem H	2	0.108
Nambi A	2	0.108
Natkaniec M	2	0.108
Nawaz A	2	0.108
Nawaz R	2	0.108
Neelakandan S	2	0.108
Nguyen DC	2	0.108
Nicolai S	2	0.108
Niemiec M	2	0.108
Nisar S	2	0.108
Nishihara N	2	0.108
Noureen SS	2	0.108
Nordström L	2	0.108
Obert J	2	0.108
Ochoa JJ	2	0.108
Ogata J	2	0.108
Oh KY	2	0.108
Ollero A	2	0.108
Omara A	2	0.108
